request_id,source_location_id,destination_location_id,category,urgency,urgency_score,time_submitted,deadline,status
Q261,L036,L036,Plumbing,LOW,4,2026-07-03T17:50:00,2026-07-06T17:50:00,NEW
Q262,L043,L036,Electrical,MEDIUM,3,2026-07-03T15:51:00,2026-07-04T15:51:00,NEW
Q263,L027,L036,Electrical,CRITICAL,1,2026-07-05T17:50:00,2026-07-05T19:50:00,NEW
Q264,L014,L036,Electrical,HIGH,2,2026-07-03T12:24:00,2026-07-03T16:24:00,NEW
Q265,L043,L036,Electrical,HIGH,2,2026-07-04T12:23:00,2026-07-04T16:23:00,NEW
Q266,L014,L036,Electrical,HIGH,2,2026-07-03T13:20:00,2026-07-03T17:20:00,NEW
Q267,L023,L036,Electrical,HIGH,2,2026-07-02T14:33:00,2026-07-02T18:33:00,NEW
Q268,L012,L036,Structural,HIGH,2,2026-07-03T14:13:00,2026-07-03T18:13:00,NEW
Q269,L050,L036,Electrical,LOW,4,2026-07-04T10:07:00,2026-07-07T10:07:00,NEW
Q270,L005,L036,Electrical,HIGH,2,2026-07-04T08:51:00,2026-07-04T12:51:00,NEW
Q271,L024,L036,Equipment Movement,HIGH,2,2026-07-03T08:35:00,2026-07-03T12:35:00,NEW
Q272,L018,L036,Equipment Movement,LOW,4,2026-07-02T12:32:00,2026-07-05T12:32:00,NEW
Q273,L007,L036,Equipment Movement,MEDIUM,3,2026-07-02T14:01:00,2026-07-03T14:01:00,NEW
Q274,L011,L036,Structural,MEDIUM,3,2026-07-05T09:39:00,2026-07-06T09:39:00,NEW
Q275,L037,L036,Electrical,MEDIUM,3,2026-07-04T15:26:00,2026-07-05T15:26:00,NEW
Q276,L028,L036,Equipment Movement,CRITICAL,1,2026-07-03T17:04:00,2026-07-03T19:04:00,NEW
Q277,L015,L036,Structural,HIGH,2,2026-07-05T17:37:00,2026-07-05T21:37:00,NEW
Q278,L006,L036,Equipment Movement,MEDIUM,3,2026-07-01T08:33:00,2026-07-02T08:33:00,NEW
Q279,L005,L036,Electrical,HIGH,2,2026-07-02T12:33:00,2026-07-02T16:33:00,NEW
Q280,L039,L036,Equipment Movement,HIGH,2,2026-07-05T11:08:00,2026-07-05T15:08:00,NEW
Q281,L022,L036,Structural,CRITICAL,1,2026-07-02T16:37:00,2026-07-02T18:37:00,NEW
Q282,L005,L036,Structural,MEDIUM,3,2026-07-05T12:53:00,2026-07-06T12:53:00,NEW
Q283,L041,L036,Electrical,LOW,4,2026-07-01T07:41:00,2026-07-04T07:41:00,NEW
Q284,L028,L036,Electrical,HIGH,2,2026-07-05T13:39:00,2026-07-05T17:39:00,NEW
Q285,L022,L036,Plumbing,MEDIUM,3,2026-07-03T17:19:00,2026-07-04T17:19:00,NEW
Q286,L016,L036,Equipment Movement,MEDIUM,3,2026-07-03T14:04:00,2026-07-04T14:04:00,NEW
Q287,L024,L036,Electrical,MEDIUM,3,2026-07-04T10:21:00,2026-07-05T10:21:00,NEW
Q288,L021,L036,Plumbing,MEDIUM,3,2026-07-03T13:08:00,2026-07-04T13:08:00,NEW
Q289,L027,L036,Plumbing,HIGH,2,2026-07-02T14:07:00,2026-07-02T18:07:00,NEW
Q290,L009,L036,Electrical,CRITICAL,1,2026-07-03T13:55:00,2026-07-03T15:55:00,NEW
Q291,L021,L036,Electrical,LOW,4,2026-07-02T12:59:00,2026-07-05T12:59:00,NEW
Q292,L020,L036,Plumbing,MEDIUM,3,2026-07-04T15:29:00,2026-07-05T15:29:00,NEW
Q293,L017,L036,Plumbing,CRITICAL,1,2026-07-04T15:29:00,2026-07-04T17:29:00,NEW
Q294,L044,L036,Electrical,MEDIUM,3,2026-07-01T11:31:00,2026-07-02T11:31:00,NEW
Q295,L021,L036,Equipment Movement,MEDIUM,3,2026-07-03T15:00:00,2026-07-04T15:00:00,NEW
Q296,L034,L036,Plumbing,LOW,4,2026-07-03T13:23:00,2026-07-06T13:23:00,NEW
Q297,L002,L036,Electrical,MEDIUM,3,2026-07-03T15:18:00,2026-07-04T15:18:00,NEW
Q298,L003,L036,Plumbing,MEDIUM,3,2026-07-03T16:43:00,2026-07-04T16:43:00,NEW
Q299,L021,L036,Electrical,CRITICAL,1,2026-07-03T12:35:00,2026-07-03T14:35:00,NEW
Q300,L042,L036,Structural,HIGH,2,2026-07-05T13:32:00,2026-07-05T17:32:00,NEW
